axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11292012,0.0166,2023-10-24,Mavis,Early Bird,0,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000c3082220822088a084210820844190600c5190c08c230c608621886
11250982,0.0200,2023-10-17,Telescope,Peace Maker,4,Peace Maker,Arco,Tri Feather,The Last One,Aquatic,Bird,0x200000000618102210a20904084211040884214600c0304608c230c408621886
11250998,0.0100,2023-10-17,Mavis,Curly,3,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x2000000006186442082509420842094808a420c400c0300c08c2094a086220c2
11156577,0.0230,2023-09-27,Mavis,Owl,3,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000c20c2220822214a084211080860190600c5110c08c2308c08621886
11156577,0.0100,2023-09-27,Mavis,Owl,3,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000c20c2220822214a084211080860190600c5110c08c2308c08621886
11089306,0.0200,2023-09-26,Mavis,Curly,3,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000820b222082208820843104808a2288a00c320c408c0188c08621886
11331594,0.0150,2023-09-25,Mavis,Curly,3,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000b208222082208820842108a08a0208a00c2080408c230cc08621886
11270953,0.0180,2023-09-12,Telescope,Pink Cheek,3,Peace Maker,Arco,Tri Feather,The Last One,Aquatic,Bird,0x200000000830122210a20902084210840824210200c430ca08c2308c08600842
11292011,0.0130,2023-09-11,Mavis,Owl,0,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000b20822208231088084520840860190600c5114608c2304c08621886
11240687,0.0100,2023-09-08,Mavis,Nimo,4,Peace Maker,Arco,Tri Feather,The Last One,Bird,Aquatic,0x200000000820102208242884084210841022088200c2190c08c0300408631842
11240687,0.0142,2023-09-06,Mavis,Nimo,4,Peace Maker,Arco,Tri Feather,The Last One,Bird,Aquatic,0x200000000820102208242884084210841022088200c2190c08c0300408631842
11281444,0.0140,2023-09-05,Gero,Curly,2,Peace Maker,Arco,Tri Feather,The Last One,Aquatic,Bird,0x200000000b2c82221082090a084210c408a228ca00c2088208c2310808650886
11186869,0.0120,2023-09-03,Telescope,Gill,4,Peace Maker,Arco,Tri Feather,The Last One,Aquatic,Aquatic,0x200000000820122010a310020840108410a2088600c2090808c230820860080a
11186869,0.0068,2023-09-02,Telescope,Gill,4,Peace Maker,Arco,Tri Feather,The Last One,Aquatic,Aquatic,0x200000000820122010a310020840108410a2088600c2090808c230820860080a
11281444,0.0050,2023-09-01,Gero,Curly,2,Peace Maker,Arco,Tri Feather,The Last One,Aquatic,Bird,0x200000000b2c82221082090a084210c408a228ca00c2088208c2310808650886
11089306,0.0062,2023-09-01,Mavis,Curly,3,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000820b222082208820843104808a2288a00c320c408c0188c08621886
11280365,0.0150,2023-08-31,Mavis,Curly,3,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x20000000082cb222082208820843208408a428ca00c2088208c2088c08621806
11292012,0.0074,2023-08-29,Mavis,Early Bird,0,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000c3082220822088a084210820844190600c5190c08c230c608621886
11292011,0.0060,2023-08-28,Mavis,Owl,0,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000b20822208231088084520840860190600c5114608c2304c08621886
11280365,0.0090,2023-08-26,Mavis,Curly,3,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x20000000082cb222082208820843208408a428ca00c2088208c2088c08621806
11318833,0.0200,2023-08-22,Mavis,Curly,3,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x2000000008049222082208820843210a08a2288a00c2088208c2304808621886
11251023,0.0150,2023-08-20,Gero,Inkling,3,Peace Maker,Arco,Tri Feather,The Last One,Aquatic,Aquatic,0x200000000b18823210841008084210821084294c00c4100c08c23048086020c2
11240687,0.0061,2023-08-18,Mavis,Nimo,4,Peace Maker,Arco,Tri Feather,The Last One,Bird,Aquatic,0x200000000820102208242884084210841022088200c2190c08c0300408631842
11240687,0.0090,2023-08-09,Mavis,Nimo,4,Peace Maker,Arco,Tri Feather,The Last One,Bird,Aquatic,0x200000000820102208242884084210841022088200c2190c08c0300408631842
11281445,0.0100,2023-08-05,Mavis,Risky Bird,1,Peace Maker,Arco,Tri Feather,The Last One,Bird,Bird,0x200000000b2c8222082209420841108408c3290a00c2090c08c2310808650886
11283841,0.0100,2023-07-26,Telescope,Inkling,1,Peace Maker,Arco,Tri Feather,The Last One,Aquatic,Aquatic,0x200000000830822210a10882084329421084280600c2210c08c2308c08621842
11186879,0.0090,2023-07-26,Telescope,Inkling,2,Peace Maker,Arco,Tri Feather,The Last One,Aquatic,Aquatic,0x200000000b24122010a0090a084528021083188800c208ca08c428820864180a
