axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
6543038,0.0050,2023-10-14,Mavis,Curly,4,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x2000000008209222082220820842288808a2088208232888082508c208621808
11587759,0.0025,2023-10-07,Little Owl,Owl,2,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x9000000008208220088220880842088408621084082220420822108408621886
5498227,0.0090,2023-10-06,Mavis,Curly,2,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x200000000b2c8242082528820840088808a220420820214c0822208408621884
9951140,0.0079,2023-10-03,Mavis,Owl,0,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x200000000a208222082421480842208408621888082410820822080a08612006
11239025,0.0084,2023-09-23,Little Owl,Curly,3,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x20000000012c122208820882084210ca08a228040822090a0824190c08620882
3121024,0.0070,2023-09-23,Mavis,Peace Maker,3,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x20000000082c1242082308820840208a088218440820088a0825104a08601886
9951140,0.0050,2023-09-22,Mavis,Owl,0,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x200000000a208222082421480842208408621888082410820822080a08612006
6691752,0.0032,2023-08-27,Mavis,Gill,2,Peace Maker,Eggshell,Balloon,The Last One,Bird,Aquatic,0x2000000008204422082210840840288a10a4184c082210880823308408621084
6691752,0.0030,2023-08-25,Mavis,Gill,2,Peace Maker,Eggshell,Balloon,The Last One,Bird,Aquatic,0x2000000008204422082210840840288a10a4184c082210880823308408621084
9951140,0.0060,2023-08-25,Mavis,Owl,0,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x200000000a208222082421480842208408621888082410820822080a08612006
6691752,0.0059,2023-08-23,Mavis,Gill,2,Peace Maker,Eggshell,Balloon,The Last One,Bird,Aquatic,0x2000000008204422082210840840288a10a4184c082210880823308408621084
6691752,0.0045,2023-08-19,Mavis,Gill,2,Peace Maker,Eggshell,Balloon,The Last One,Bird,Aquatic,0x2000000008204422082210840840288a10a4184c082210880823308408621084
11534194,0.0032,2023-08-19,Little Owl,Early Bird,5,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x900000000830842208820882084208840842108408222082082210860862188c
10349131,0.0030,2023-08-16,Mavis,Curly,4,Peace Maker,Eggshell,Balloon,The Last One,Bird,Bird,0x20000000082082240822204a0842108408a2088608220948082208860860208a
6691752,0.0032,2023-08-06,Mavis,Gill,2,Peace Maker,Eggshell,Balloon,The Last One,Bird,Aquatic,0x2000000008204422082210840840288a10a4184c082210880823308408621084
