axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11022237,0.0075,2023-10-25,Clear,Curly,4,Peace Maker,Eggshell,Tri Feather,Hare,Aquatic,Bird,0x2000000002308222104208880842104a08a328880822094808c2308a008020c4
11022237,0.0075,2023-10-06,Clear,Curly,4,Peace Maker,Eggshell,Tri Feather,Hare,Aquatic,Bird,0x2000000002308222104208880842104a08a328880822094808c2308a008020c4
11626817,0.0031,2023-10-03,Robin,Risky Bird,0,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x900000000828822208a128c40845108408c130040823210c08c2084600821844
11264785,0.0060,2023-09-29,Mavis,Curly,0,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x20000000012c1242082208480842088408a2288a0822088208c5108c00821886
11181586,0.0100,2023-09-27,Mavis,Owl,0,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x20000000082cb22208211104084408840862290c0822088808c2308c0082294c
11072036,0.0083,2023-09-27,Little Owl,Owl,0,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x200000000b2ca2220881290a08421084086210880822188208c23082008020ca
10899429,0.0076,2023-09-27,Mavis,Curly,2,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x200000000a2cc221082420420842108408a2294a0822088208c2094600802008
11872435,0.0050,2023-09-27,Mavis,Owl,0,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x200000000b2c8222082208c2084210c4086220c6082110c808c2084a00821886
9608653,0.0040,2023-09-27,Gero,Owl,0,Peace Maker,Eggshell,Tri Feather,Hare,Aquatic,Bird,0x200000000820822410842948084210c20860094a0824108208c1108200802008
9550171,0.0035,2023-09-27,Mavis,Owl,6,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x20000000082012220820284408402884086220860822088208c2208800802008
10073018,0.0032,2023-09-26,Mavis,Pink Cheek,3,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x200000000b041240082210820842208808231086082220c208c2190200822904
11264785,0.0020,2023-09-25,Mavis,Curly,0,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x20000000012c1242082208480842088408a2288a0822088208c5108c00821886
11240450,0.0039,2023-09-13,Clear,Owl,0,Peace Maker,Eggshell,Tri Feather,Hare,Aquatic,Bird,0x200000000830b2221042088808432884086310ca0822080c08c2288c0080200c
9550171,0.0050,2023-09-12,Mavis,Owl,6,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x20000000082012220820284408402884086220860822088208c2208800802008
11022237,0.0012,2023-09-07,Clear,Curly,4,Peace Maker,Eggshell,Tri Feather,Hare,Aquatic,Bird,0x2000000002308222104208880842104a08a328880822094808c2308a008020c4
11103181,0.0040,2023-08-21,Mavis,Owl,3,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x20000000082cc22208202904084210840862290c0821288208c208820080214c
11072036,0.0035,2023-08-20,Little Owl,Owl,0,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x200000000b2ca2220881290a08421084086210880822188208c23082008020ca
11271706,0.0040,2023-08-15,Robin,Early Bird,4,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x200000000820a32208a0290208422044084210c60822088808c3108c0082180c
11072036,0.0030,2023-08-11,Little Owl,Owl,0,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x200000000b2ca2220881290a08421084086210880822188208c23082008020ca
11236826,0.0030,2023-08-10,Sleepless,Peace Maker,4,Peace Maker,Eggshell,Tri Feather,Hare,Aquatic,Bird,0x20000000082c82221022090208421084088509460822088208c2308c0082184c
10899429,0.0020,2023-08-07,Mavis,Curly,2,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x200000000a2cc221082420420842108408a2294a0822088208c2094600802008
10899429,0.0024,2023-07-31,Mavis,Curly,2,Peace Maker,Eggshell,Tri Feather,Hare,Bird,Bird,0x200000000a2cc221082420420842108408a2294a0822088208c2094600802008
11240450,0.0011,2023-07-24,Clear,Owl,0,Peace Maker,Eggshell,Tri Feather,Hare,Aquatic,Bird,0x200000000830b2221042088808432884086310ca0822080c08c2288c0080200c
