axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11876327,0.00840,3,dc:bob36#2630 | Axie Bob Shop,0.00840,0.00000,0
11871904,0.00872,4,Diarwixie #13589912,0.00872,0.00000,0
11295899,0.00900,2,Adrian,0.00900,0.00000,0
11874088,0.00940,5,MrTx,0.00940,0.00000,0
11290344,0.00960,2,Baki Hanma,0.00960,0.00000,0
11115846,0.00995,4,accept offer pls,0.00995,0.00000,0
11866611,0.01000,3,<#0F0>Jad 💀,0.01000,0.00000,0
11347415,0.01000,4,GASPAR,0.01000,0.00000,0
11320715,0.01050,5,MrTx,0.01050,0.00000,0
11320164,0.01200,3,Coff33m4n,0.01200,0.00000,0
11299393,0.01260,5,MrTx,0.01260,0.00000,0
11162190,0.01360,2,MrTx,0.01360,0.00000,0
11223058,0.01400,3,Mico,0.01400,0.00000,0
11345324,0.01440,3,Frann / ARG,0.01440,0.00000,0
11153945,0.01500,3,xHalfpaced,0.01500,0.00000,0
11153775,0.01500,3,-BAIT-,0.01500,0.00000,0
10073935,0.01500,5,CorleoneCruz,0.01500,0.00000,0
11257228,0.01500,3,Youtube.com/@BlueBirdAxie,0.01500,0.00000,0
11245632,0.01570,3,Eljhay,0.03500,0.01570,604800
11289685,0.01600,0,Lunacian #1,0.01600,0.00000,0
11343913,0.01680,2,<color=red>eastman|<#9000AF>A&F,0.01680,0.00000,0
11348794,0.01766,0,Elvamp,0.01766,0.00000,0
8933062,0.01812,4,,0.01812,0.00000,0
11344959,0.02000,5,Long Bát,0.30000,0.02000,950400
11214855,0.02000,3,aigooong,0.02000,0.00000,0
11329362,0.02000,0,Dat,0.02000,0.00000,0
11308566,0.02000,6,Ikkin,0.02000,0.00000,0
11325069,0.02000,6,fb : clint gusi,0.02000,0.00000,0
11299376,0.02500,2,BTX BRITZ,0.02500,0.00000,0
11317082,0.02500,3,MasterY0da,0.02500,0.00000,0
10734017,0.02500,4,PhantomMask#07,0.02500,0.00000,0
11323170,0.02800,3,OmarGMT,0.02800,0.00000,0
11329366,0.02900,0,FB.gg.Vince Rod,0.02900,0.00000,0
11341343,0.03000,1,Sir.Phogz,0.03000,0.00000,0
11343444,0.03000,2,AXIESPACE | Pauly,0.03000,0.00000,0
11215329,0.03000,3,GOINGs Sakalam,0.03000,0.00000,0
7878652,0.03000,0,Lunacian #34562123,0.03000,0.00000,0
11256875,0.03200,2,Tala,0.03200,0.00000,0
190148,0.03210,1,Orale Ese,0.03210,0.00000,0
5206261,0.03500,4,Mad Scientist | Birbs,0.03500,0.00000,0
11346677,0.04050,0,tweaker,0.04050,0.00000,0
11347551,0.04200,0,tweaker,0.04200,0.00000,0
11327217,0.04500,4,Cacho Vitrola | A+,0.04500,0.00000,0
11320795,0.05000,4,Fénix [ Alinix Corp.],0.06000,0.05000,8640000
11345398,0.05000,3,Brian06,0.05000,0.00000,0
11162179,0.05000,3,JAES,0.05000,0.00000,0
10170677,0.05000,4,WAXXVIII.IV | MCMXCIX,0.05000,0.00000,0
11295040,0.05000,0,Lunacian #25689092,0.05000,0.00000,0
11283835,0.05000,2,Piw,0.05000,0.00000,0
1100854,0.05300,0,Lunacian #1,0.05300,0.00000,0
11342120,0.05499,4,GG PH | CYRIL,0.05499,0.00000,0
11241421,0.06000,3,Daniel,0.06000,0.00000,0
154001,0.07500,6,Main | HHG | YGG (test),0.07500,0.00000,0
11280351,0.09000,2,rL#3,0.03000,0.09000,259200
11329695,0.11000,3,Yamete Kudasai! | JCG,0.11000,0.00000,0
11281274,0.11000,4,elpanda13,0.11000,0.00000,0
11345760,0.13000,4,Phynister,0.13000,0.00000,0
10822256,0.15000,3,PjTT,0.15000,0.00000,0
11280275,0.15000,1,MAD,0.15000,0.00000,0
11347302,0.19000,3,akunetanatox,0.17000,0.19000,2592000
10499332,0.20000,2,Hatred-eXc🔱 |  JEPOY-JEPOY,0.20000,0.00000,0
11341352,0.20000,1,<#1B3F8B>Lord Grimm | Happy,0.20000,0.00000,0
11347625,0.22000,4,Peche,0.22000,0.00000,0
11345762,0.49000,3,Jokey#1775,0.49000,0.00000,0
11256912,0.50000,2,freyja,0.50000,0.00000,0
11339340,0.50000,4,Gio | BebeDODOG,0.50000,0.00000,0
11328562,0.50000,2,BossKape,0.50000,0.00000,0
11344718,0.74400,4,🧬🎄ccount🧬6☯️8,0.74400,0.00000,0
11038846,1.00000,5,Ivy | Axie Bob University,1.00000,0.00000,0
163874,1.00000,4,Elf-Lunacian,1.00000,0.00000,0
11313395,1.00000,4,🧬🎄ccount🧬6☯️8,1.00000,0.00000,0
11346679,1.00000,5,🧬🎄ccount🧬6☯️8,1.00000,0.00000,0
11348258,1.00000,3,🧬🎄ccount🧬6☯️8,1.00000,0.00000,0
11346675,1.00000,5,🧬🎄ccount🧬6☯️8,1.00000,0.00000,0
11342447,1.00000,3,🧬🎄ccount🧬6☯️8,1.00000,0.00000,0
11336744,50.00000,0,CRyPT22,50.00000,0.00000,0
