axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11336414,0.0074,2023-10-26,Mavis,Risky Bird,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000820b222082209480842104808c2308c0822088208c3190608621946
10991285,0.0091,2023-10-24,Mavis,Owl,5,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000082c84240822088208402084086530860822090c08c2304a08621886
11343057,0.0085,2023-10-23,Mavis,Curly,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b2cb222082210820842108408a230820822088208c2308c08621886
10819226,0.0093,2023-10-23,Mavis,Early Bird,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000022494240822084a084210c8084111460825088208c1290a08621886
11849645,0.0090,2023-10-22,Mavis,Curly,4,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000012cb222082208820842108408a228ca0822088208c2304808621886
2949559,0.0180,2023-10-22,Mavis,Owl,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b20822208220942084228840865314a082208c808c220c408621886
11876367,0.0085,2023-10-21,Mavis,Curly,4,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b20b22208242108084210c808a2080a0822088208c3208c08621886
11256875,0.0100,2023-10-21,Mavis,Owl,2,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000082c80200822290a08421084086218820822094208c2308c0862308c
11318802,0.0080,2023-10-20,Mavis,Curly,6,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000082c8222082310820842114208a2288a0824108208c2308c08621886
10819226,0.0085,2023-10-20,Mavis,Early Bird,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000022494240822084a084210c8084111460825088208c1290a08621886
190148,0.0159,2023-10-19,Lucas,Owl,1,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000820a4320842088208422088086218440822088208c2308408602086
10813277,0.0086,2023-10-19,Mavis,Gill,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Aquatic,0x200000000b201222082208820840088410a2288a0820188c08c2188c08621886
11849643,0.0099,2023-10-18,Mavis,Curly,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000082cb222082208820842108408a0308a0822088808c230480862194a
11849644,0.0080,2023-10-18,Mavis,Curly,4,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000082cb222082208820842108408a228ca0822088808c2308c08621886
5206261,0.0025,2023-10-17,Robin,Early Bird,0,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000082c822208a2090a0842208a084210840825288208c2288608620886
11348750,0.0080,2023-10-17,Mavis,Curly,4,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b04b2220824214a0842108408a0288a0822088208c2308c08621886
7878652,0.0145,2023-10-17,Mavis,Peace Maker,0,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000082cb022082520020842208a088220880820308208c320860862190a
11347145,0.0090,2023-10-17,Mavis,Peace Maker,0,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b202222082208c8084210840882310a0823108208c0208c08621886
11876357,0.0100,2023-10-16,Mavis,Curly,5,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b2cb222082208820842108408a2288a0822088208c2308c086218c8
11320715,0.0120,2023-10-16,Mavis,Curly,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b2c1222082209440842108408a231040822088208c3188c08621886
11299393,0.0120,2023-10-16,Mavis,Curly,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b2cb222082208820842108408a2288a0822088208c2308c08611886
11251145,0.0100,2023-10-15,Mavis,Curly,4,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x2000000001048222082208820842108408a228820823288208c2308408621886
10824740,0.0100,2023-10-15,Mavis,Owl,4,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000820824208220844084028ca0863090c0822088208c23084086320c8
11347145,0.0067,2023-10-15,Mavis,Peace Maker,0,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b202222082208c8084210840882310a0823108208c0208c08621886
11280342,0.0094,2023-10-15,Mavis,Curly,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000012cb222082209020842108408a319060822084808c4100608621942
11866611,0.0094,2023-10-15,Mavis,Curly,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000082cb222082510820845108408a218820822088208c2308c08621886
11860887,0.0094,2023-10-15,Mavis,Curly,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b041222082208820842108408a2288a0824188c08c2314808621886
11224545,0.0100,2023-10-15,Mavis,Peace Maker,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000820b2420820290808421142088418880821214c08c3108c08640906
11874088,0.0080,2023-10-14,Mavis,Pink Cheek,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000120b2220820208208421002082228c80822088208c2308c08621886
11060647,0.0077,2023-10-14,Mavis,Peace Maker,2,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x2000000002208322082110440842100408852146082128c808c230c208601808
11325548,0.0086,2023-10-12,Mavis,Curly,5,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000804122208211084084210ca08a2288a0825108208c2308c08621886
11162190,0.0070,2023-10-12,Mavis,Peace Maker,2,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x2000000002209422082108820845294a088210820822088208c2200608621886
11336750,0.0094,2023-10-11,Mavis,Pink Cheek,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b04122208200882084210840822088a0822088208c2308c08621886
7464710,0.0200,2023-10-11,Mavis,Owl,5,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000082c82230822094208421084086210840822208208c230860862190a
11286690,0.0094,2023-10-11,Mavis,Curly,2,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000104b2420821080a0842108408a2280c0822308408c23086086430c4
11881435,0.0094,2023-10-11,Mavis,Early Bird,2,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000012c822208202082084110840843208a0822088208c2308c08621886
11289680,0.0090,2023-10-10,Mavis,Curly,0,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b04b22408202082084520c808a2088a0822084608c4108c08621886
11280342,0.0100,2023-10-10,Mavis,Curly,1,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000012cb222082209020842108408a319060822084808c4100608621942
11247096,0.0094,2023-10-10,Mavis,Peace Maker,4,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b20a22408202882084210c2088220060822084a08c2308c08612906
11849641,0.0082,2023-10-10,Mavis,Curly,4,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b2c8222082208440842108408a228ca0822088a08c2308c08621886
9534522,0.0116,2023-10-10,Mavis,Risky Bird,0,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x2000000008241322082208040842108808c210860821088608c3108c08621886
11290344,0.0090,2023-10-09,Mavis,Curly,2,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b2cb222082208420840208408a228c20822088208c2308c08621886
11849648,0.0080,2023-10-09,Mavis,Curly,4,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b20b22208220882084210c808a218820822088208c2304608621886
1120699,0.0330,2023-10-09,Mavis,Peace Maker,3,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x200000000b2c82320822080a0844288a0882214c0824108608c1188608621804
11280342,0.0108,2023-10-08,Mavis,Curly,1,Peace Maker,Eggshell,Tri Feather,The Last One,Bird,Bird,0x20000000012cb222082209020842108408a319060822084808c4100608621942
