axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11295883,0.0160,2023-10-24,Mavis,Pink Cheek,1,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000b04122208201148084210840822088a08c2084408c2308c0862188c
11231872,0.0195,2023-10-24,Mavis,Curly,3,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x20000000080482220822090a0845108a08a2288a08c2088208c1314808621886
11911744,0.0200,2023-10-23,Mavis,Peace Maker,3,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000a2c1222082328820842100a0885194a08c0088208c2108808621886
3458726,0.0120,2023-10-14,Mavis,Pink Cheek,3,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000c20b24208242882084210040823188408c2084a08c218880863288c
11254702,0.0230,2023-10-13,Robin,Owl,3,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000820842208a11144084210820860088608c2088208c2308c08612886
11254702,0.0150,2023-10-13,Robin,Owl,3,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000820842208a11144084210820860088608c2088208c2308c08612886
11231872,0.0100,2023-10-12,Mavis,Curly,0,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x20000000080482220822090a0845108a08a2288a08c2088208c1314808621886
11254702,0.0077,2023-10-02,Robin,Owl,3,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000820842208a11144084210820860088608c2088208c2308c08612886
11255373,0.0200,2023-09-28,Sleepless,Risky Bird,0,Peace Maker,Feather Spear,Tri Feather,The Last One,Aquatic,Bird,0x200000000b04b222102209420843208408c4210a08c2204a08c230c80863104c
11208367,0.0220,2023-09-28,Mavis,Curly,4,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000120b222082209420843108408a2288208c2094408c230c408621886
11208367,0.0100,2023-09-23,Mavis,Curly,4,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000120b222082209420843108408a2288208c2094408c230c408621886
11208367,0.0125,2023-09-14,Mavis,Curly,4,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000120b222082209420843108408a2288208c2094408c230c408621886
11295883,0.0100,2023-09-07,Mavis,Pink Cheek,1,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000b04122208201148084210840822088a08c2084408c2308c0862188c
11295883,0.0030,2023-09-06,Mavis,Pink Cheek,1,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000b04122208201148084210840822088a08c2084408c2308c0862188c
3246185,0.0150,2023-08-25,Mavis,Early Bird,4,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000b248222082021080842294a0842208208c2100608c2214408622106
11089517,0.0025,2023-07-28,Mavis,Owl,2,Peace Maker,Feather Spear,Tri Feather,The Last One,Bird,Bird,0x200000000b048222082208820842108a0862294808c2090808c1088c08621902
