axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
10865700,0.0039,2023-10-25,Mavis,Peace Maker,1,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x200000000c041222082208021425088208812886082410820881308800830808
11119779,0.0038,2023-10-25,Mavis,Bubblemaker,3,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Aquatic,0x200000000a04122208222948142508481060090a082208ca0882208600802008
10829436,0.0038,2023-10-25,Mavis,Peace Maker,2,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x20000000092482240822088a1421208a08822084082208820882208600802108
10929363,0.0040,2023-10-22,Mavis,Peace Maker,3,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x200000000124b224082510821425088a08840942082208460882208800851842
11001650,0.0025,2023-10-20,Mavis,Peace Maker,1,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x200000000b2c9422082220021425094208812048082529420882214600802008
10865700,0.0025,2023-10-20,Mavis,Peace Maker,1,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x200000000c041222082208021425088208812886082410820881308800830808
10829436,0.0025,2023-10-20,Mavis,Peace Maker,2,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x20000000092482240822088a1421208a08822084082208820882208600802108
10929363,0.0030,2023-10-20,Mavis,Peace Maker,3,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x200000000124b224082510821425088a08840942082208460882208800851842
11307836,0.0030,2023-10-20,Mavis,Peace Maker,1,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x200000000904d2440822288214220942088220c40822080a088220c400811008
11198182,0.0025,2023-10-20,Mavis,Peace Maker,1,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x2000000008241422082409441425094208822102082208cc0885088400812008
11144557,0.0030,2023-10-20,Mavis,Peace Maker,1,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x200000000924824208240882142029420882208408230882088220cc00802008
11330054,0.0030,2023-10-20,Mavis,Peace Maker,1,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x200000000b049422082410821425094208842886082208820882208a00850808
11286493,0.0030,2023-10-20,Mavis,Peace Maker,1,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x20000000011082420825088214222942088220840822084c0882204800802008
11091462,0.0030,2023-10-20,Mavis,Peace Maker,1,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x2000000009341442082310821425088208822086082208820882208800802106
11203896,0.0030,2023-10-20,Mavis,Peace Maker,2,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x200000000b24b4440821108a142311420884214a0825188a0882208800802008
10498155,0.0057,2023-10-20,Robin,Peace Maker,6,Toothless Bite,Eggshell,Pigeon Post,Hare,Bird,Bird,0x20000000012c124208a208041425080a088208860822088208822088008020c8
