axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11233155,0.00405,2,BiLATSLAYER,0.00405,0.00000,0
5063685,0.00410,0,www.fb.com/RitzRayyeJohn,0.00410,0.00000,0
8566454,0.00420,0,MrTx,0.00420,0.00000,0
9292324,0.00420,3,MrTx,0.00420,0.00000,0
10902828,0.00430,3,DRIXX | JeiiKeiiiiii,0.00430,0.00000,0
10912608,0.00450,3,Wabby,0.00450,0.00000,0
11233158,0.00660,1,ITCHIGO,0.00660,0.00000,0
10862341,0.00745,0,Norty,0.00745,0.00000,0
10681200,0.00800,3,Lunacian #1,0.00800,0.00000,0
7753398,0.00800,2,mo2aka,0.00800,0.00000,0
11225302,0.00950,3,<#00FFF4>© | <#000000>817,0.00950,0.00000,0
10873231,0.01000,0,DANY PALOMINO,0.01000,0.00000,0
10802562,0.01000,4,bangs2,0.01000,0.00000,0
11118370,0.01000,2,👑A ℙ ◉ ℂ👑,0.01000,0.00000,0
5839093,0.01000,2,MGA PLAY - AXIES FOR SALE!,0.02500,0.01000,432000
10000924,0.01000,4,Druwoo,0.01000,0.00000,0
10566160,0.01000,3,botadorloco,0.01000,0.00000,0
11159021,0.01000,4,Magical Mystic Gnolls,0.01000,0.00000,0
11005511,0.01100,2,MarkO | UNO,0.01100,0.00000,0
5757873,0.02100,3,PAULO T.,0.02100,0.00000,0
10862373,0.02500,4,MAK#00 | Jardon| DBP,0.04500,0.02500,86400
7075064,0.05000,0,Isko 3,0.05000,0.00000,0
11233168,0.05000,1,Magical Mystic Gnolls,0.05000,0.00000,0
10874662,0.07000,3,Syd | AAG,0.07000,0.00000,0
1507277,0.09000,2,19h40,0.09000,0.00000,0
11155486,0.10000,3,Discord:Nichol#9212,0.10000,0.00000,0
10750103,0.11000,2,Yamete Kudasai! | JCG,0.11000,0.00000,0
7950197,0.12000,0,qls,0.12000,0.00000,0
10979643,0.15000,1,7aljndR ,0.15000,0.00000,0
7648439,0.21000,5,...,0.21000,0.00000,0
10784816,0.50000,4,MAIN DG,0.50000,0.00000,0
3660690,1.00000,0,AJ axie Team,1.00000,0.00000,0
