axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
7753322,0.0028,2023-10-17,Mavis,Owl,2,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Bird,0x2000000008048203082209421420108a08622088082208820882088808c2304c
11233155,0.0035,2023-10-12,Lucas,Early Bird,2,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Bird,0x2000000008208222084208821425088808422082082010460882208c08c0208c
10958021,0.0031,2023-10-07,Lucas,Inkling,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Aquatic,0x20000000082092220842090a1423208a10823108082510820881208808c23008
10664348,0.0027,2023-10-06,Mavis,Tiny Fan,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Aquatic,0x2000000009208324082208821422288a1044088c082208820880088808c2308c
11066488,0.0030,2023-10-05,Telescope,Owl,2,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Aquatic,Bird,0x20000000082c822410a420841425088a08621882082430820883308808c02008
8566454,0.0030,2023-10-04,Mavis,Pink Cheek,0,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Bird,0x2000000008308432082208821422088a082208060822088a0880308808c2308c
10725975,0.0050,2023-10-01,Little Owl,Early Bird,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Bird,0x200000000b2083220880108214220882084219060822288c0882208808c2308c
11204174,0.0020,2023-10-01,Robin,Bubblemaker,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Aquatic,0x200000000120822008a209481423110810622086082208820882208808c23084
10912608,0.0047,2023-10-01,Mavis,Pink Cheek,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Bird,0x2000000008208222082310821424108a08241104082208860882208808c02008
11204174,0.0013,2023-10-01,Robin,Bubblemaker,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Aquatic,0x200000000120822008a209481423110810622086082208820882208808c23084
10725975,0.0040,2023-09-30,Little Owl,Early Bird,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Bird,0x200000000b2083220880108214220882084219060822288c0882208808c2308c
11204174,0.0010,2023-09-29,Robin,Bubblemaker,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Aquatic,0x200000000120822008a209481423110810622086082208820882208808c23084
9292324,0.0030,2023-09-29,Mavis,Owl,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Bird,0x200000000820b224082010821422288a08621882082208c20882204808c2308c
11125489,0.0031,2023-09-28,Sleepless,Early Bird,4,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Aquatic,Bird,0x200000000820b222102208821425094208422082082010820882208808c02008
11264740,0.0030,2023-09-26,Little Owl,Bubblemaker,3,Toothless Bite,Eggshell,Pigeon Post,Post Fight,Bird,Aquatic,0x2000000001248424088510881424200a106220860822080c088220c608c23106
