axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11087062,0.0035,2023-10-11,Mavis,Gill,2,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Aquatic,0x20000000082c82120822088a1425084810a42906082208880882200c08602008
11087062,0.0025,2023-10-10,Mavis,Gill,2,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Aquatic,0x20000000082c82120822088a1425084810a42906082208880882200c08602008
11087062,0.0013,2023-09-26,Mavis,Gill,2,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Aquatic,0x20000000082c82120822088a1425084810a42906082208880882200c08602008
3191393,0.0010,2023-09-18,Little Owl,Early Bird,2,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Bird,0x20000000022c93420881208214222944084320420821208208822088086130ca
3191393,0.0021,2023-09-16,Little Owl,Early Bird,2,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Bird,0x20000000022c93420881208214222944084320420821208208822088086130ca
3191393,0.0020,2023-09-16,Little Owl,Early Bird,2,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Bird,0x20000000022c93420881208214222944084320420821208208822088086130ca
3191393,0.0030,2023-09-05,Little Owl,Early Bird,2,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Bird,0x20000000022c93420881208214222944084320420821208208822088086130ca
11566684,0.0028,2023-08-27,Mavis,Early Bird,0,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Bird,0x2000000004048422082428821422204208423084082328820881108808623084
11566684,0.0018,2023-08-10,Mavis,Early Bird,0,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Bird,0x2000000004048422082428821422204208423084082328820881108808623084
7084929,0.0016,2023-07-28,Mavis,Owl,3,Toothless Bite,Eggshell,Pigeon Post,The Last One,Bird,Bird,0x200000000b2c12220822088a1422288a08622046082230880882188408621886
