axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11900689,0.0171,2023-10-24,Lucas,Inkling,2,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x40000000061860220842210410a428041084294600c0300804c2114810241104
11903756,0.0140,2023-10-19,Little Owl,Tiny Fan,0,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x400000000a28a3300884110410a4290a104320c800c3094a04c1304c102408cc
11891468,0.0200,2023-10-19,Lucas,Tiny Fan,3,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x40000000062060220844100a10a2290a1044210a00c1108404c5200610240904
11900689,0.0170,2023-10-17,Lucas,Inkling,0,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x40000000061860220842210410a428041084294600c0300804c2114810241104
11891467,0.0190,2023-10-16,Clear,Tiny Fan,3,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000818c0221042100a10a4290a1044188400c0300804c2204c10240882
11872872,0.0170,2023-10-16,Robin,Gill,4,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x400000000628824008a1084210a4288410a1314200c0214404c0084c10240902
11891473,0.0165,2023-10-16,Little Owl,Inkling,4,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x400000001e1862300884108210a4290a1085190400c0308404c1314810240904
11893095,0.0150,2023-10-12,Robin,Tiny Fan,4,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x400000000a86132008a4110410a40884104130c800c4290604c13104102408cc
11333113,0.0250,2023-10-09,Clear,Gill,3,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000604c0201045210a10a3094a10a4190600c030c204c1304c10241082
11876447,0.0150,2023-10-01,Clear,Gill,3,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e1832221042208410a4290a10a4190400c4294c04c1314810240882
11872872,0.0160,2023-09-27,Robin,Gill,4,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x400000000628824008a1084210a4288410a1314200c0214404c0084c10240902
11876448,0.0230,2023-09-27,Clear,Gill,0,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e1832021044288410a4290a10a4210600c0204c04c5204c10241102
11342003,0.0210,2023-09-23,Clear,Bubblemaker,2,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e15e2221044090a10a4290a1064190600c5080c04c1304c10231902
11319034,0.0221,2023-09-21,Lucas,Inkling,4,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x40000000060c62020844084210a529021084210600c0314a04c2084c10240904
11309604,0.0239,2023-09-21,Clear,Gill,3,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a0462021044284410a3110a10a4190400c4294c04c1310610241102
11320961,0.0200,2023-09-17,Lucas,Gill,4,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x40000000031882000841084210a4088410a1310400c0110a04c1304c10240906
11340722,0.0150,2023-09-16,Little Owl,Bubblemaker,3,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x400000000678c2220882110810a4290a1063090a00c4290a04c1300c10240946
11319034,0.0080,2023-09-15,Lucas,Inkling,4,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x40000000060c62020844084210a529021084210600c0314a04c2084c10240904
11320961,0.0165,2023-09-15,Lucas,Gill,0,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x40000000031882000841084210a4088410a1310400c0110a04c1304c10240906
11340722,0.0189,2023-09-14,Little Owl,Bubblemaker,3,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x400000000678c2220882110810a4290a1063090a00c4290a04c1300c10240946
11320961,0.0160,2023-09-12,Lucas,Gill,0,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x40000000031882000841084210a4088410a1310400c0110a04c1304c10240906
11342003,0.0181,2023-09-12,Clear,Bubblemaker,2,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e15e2221044090a10a4290a1064190600c5080c04c1304c10231902
11342003,0.0070,2023-09-09,Clear,Bubblemaker,2,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e15e2221044090a10a4290a1064190600c5080c04c1304c10231902
11309604,0.0190,2023-09-09,Clear,Gill,0,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a0462021044284410a3110a10a4190400c4294c04c1310610241102
11340731,0.0090,2023-09-04,Robin,Inkling,2,Piranha,Arco,Spiky Wing,Koi,Bird,Aquatic,0x400000000618320208a2108210a5290a108418ca00c0310a04c2084c10240902
11309605,0.0130,2023-09-04,Clear,Gill,4,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a0612021044110810a408c210a4190600c530c604c1310610240904
11347227,0.0062,2023-09-01,Clear,Inkling,0,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e1830221042208410a4290a1084290800c4280804c1314810240882
11309604,0.0064,2023-09-01,Clear,Gill,0,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a0462021044284410a3110a10a4190400c4294c04c1310610241102
11333109,0.0200,2023-08-30,Clear,Gill,0,Piranha,Arco,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a28a2001044290410a2110210a2310600c0300c04c1284a10251102
