axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11328933,0.0250,2023-10-22,Clear,Seaslug,4,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c0c82221044110410a4290a10c4190800a4290c04c5184610252148
11336021,0.0260,2023-09-30,Sleepless,Tiny Fan,2,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c3093221024290a10a1080a104018c200a130c804c4188a1025214c
11336021,0.0241,2023-09-20,Sleepless,Tiny Fan,0,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c3093221024290a10a1080a104018c200a130c804c4188a1025214c
11664861,0.0150,2023-09-18,Clear,Gill,0,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e30c0021042210410a4288a10a5190200a2110404c4310410240902
11322158,0.0210,2023-09-16,Lucas,Bubblemaker,5,Piranha,Dual Blade,Spiky Wing,Koi,Bird,Aquatic,0x400000001e79e0020842290410a4290a1064110a00a1204604c2100610211102
11341135,0.0160,2023-09-12,Clear,Gill,2,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000030c33041044090410a4290a10a1110a00a0304604c2100610240902
11330540,0.0200,2023-09-12,Clear,Gill,0,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000011c81231043204a10a4290810a1210400a2204a04c4104c10240902
11322158,0.0146,2023-09-11,Lucas,Bubblemaker,4,Piranha,Dual Blade,Spiky Wing,Koi,Bird,Aquatic,0x400000001e79e0020842290410a4290a1064110a00a1204604c2100610211102
11664861,0.0119,2023-09-11,Clear,Gill,0,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e30c0021042210410a4288a10a5190200a2110404c4310410240902
11664861,0.0100,2023-09-10,Clear,Gill,0,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e30c0021042210410a4288a10a5190200a2110404c4310410240902
11330540,0.0100,2023-09-07,Clear,Gill,0,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000011c81231043204a10a4290810a1210400a2204a04c4104c10240902
11322158,0.0090,2023-09-05,Lucas,Bubblemaker,4,Piranha,Dual Blade,Spiky Wing,Koi,Bird,Aquatic,0x400000001e79e0020842290410a4290a1064110a00a1204604c2100610211102
11327961,0.0170,2023-09-01,Clear,Nimo,3,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c3033201044110410a429081023310800a120c604c1300810240902
11327961,0.0130,2023-08-26,Clear,Nimo,3,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c3033201044110410a429081023310800a120c604c1300810240902
11327961,0.0100,2023-08-21,Clear,Nimo,3,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c3033201044110410a429081023310800a120c604c1300810240902
11336021,0.0070,2023-08-19,Sleepless,Tiny Fan,0,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c3093221024290a10a1080a104018c200a130c804c4188a1025214c
11319716,0.0090,2023-08-09,Gero,Bubblemaker,3,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000030c82001084100a10a4290a1061088400a4190a04c4284610240902
11329468,0.0090,2023-08-06,Clear,Early Bird,4,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Bird,0x40000000030c31341044108a10a428440844294400a1210a04c1300810240902
11328933,0.0055,2023-07-22,Clear,Seaslug,4,Piranha,Dual Blade,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c0c82221044110410a4290a10c4190800a4290c04c5184610252148
