axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11182216,0.00500,5,JINI,0.00900,0.00500,259200
11326282,0.00600,2,schembre,0.00600,0.00000,0
11249073,0.00670,0,Master Naya | NGG,0.00670,0.00000,0
11342012,0.00700,4,dc:bob36#2630 | Axie Bob Shop,0.00700,0.00000,0
11105801,0.01100,4,Shiloah,0.01100,0.00000,0
6025791,0.01400,0,Apples and Bananas,0.01400,0.00000,0
11361249,0.01500,0,Antirugi,0.01500,0.00000,0
11202588,0.01500,2,RChiro7,0.01500,0.00000,0
10368517,0.01515,5,JM | BeBe,0.01515,0.00000,0
11265655,0.02000,0,<color=#130700> Nishoba,0.02000,0.00000,0
5559224,0.02000,4,Lunacian #25787253,0.02000,0.00000,0
11222933,0.02000,0,Md | Pbros.ph,0.02000,0.00000,0
11205086,0.04000,6,Basic,0.04000,0.00000,0
11252219,0.05000,0,Herbert #1743669,0.05000,0.00000,0
3628829,0.11000,0,Yamete Kudasai! | JCG,0.11000,0.00000,0
