axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11249073,0.0045,2023-10-17,Telescope,Nimo,0,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000a06123210a210c410a429081022090610a020880822288210240806
11342012,0.0063,2023-10-17,Telescope,Inkling,0,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000320322310a4290410a428041082094210a4294a0821304c10253102
11342012,0.0045,2023-10-15,Telescope,Inkling,0,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000320322310a4290410a428041082094210a4294a0821304c10253102
10896604,0.0026,2023-10-06,Clear,Nimo,3,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000c30c3001044110210a428c41024108c10a42888082410ca1024088a
11202575,0.0040,2023-10-06,Clear,Nimo,2,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000a21e3331044110410a421081024210a10a30808082208881021194c
11202575,0.0021,2023-10-06,Clear,Nimo,2,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000a21e3331044110410a421081024210a10a30808082208881021194c
10896604,0.0009,2023-10-05,Clear,Nimo,3,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000c30c3001044110210a428c41024108c10a42888082410ca1024088a
11105801,0.0055,2023-10-04,Lucas,Risky Bird,4,Piranha,Oranda,Balloon,Koi,Bird,Bird,0x400000001e21e0120844110210a4090808c3090410a1210a0823108a10240902
11209180,0.0034,2023-09-27,Clear,Gill,5,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x40000000060de4021044290210a420c210a0308c10a428420821188a10240902
11105801,0.0050,2023-09-18,Lucas,Risky Bird,4,Piranha,Oranda,Balloon,Koi,Bird,Bird,0x400000001e21e0120844110210a4090808c3090410a1210a0823108a10240902
11182216,0.0039,2023-09-12,Telescope,Risky Bird,5,Piranha,Oranda,Balloon,Koi,Aquatic,Bird,0x400000000c78802010a4110a10a4290a08c408c210a429020825290610240904
11182217,0.0060,2023-09-08,Clear,Gill,5,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000001e8433021044290a10a4290810a030c210a428420822090610211104
10528489,0.0050,2023-09-07,Clear,Bubblemaker,3,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000001e3442301040090410a4200a1064184a10a2310c0825204a10240942
11182217,0.0021,2023-09-07,Clear,Gill,5,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000001e8433021044290a10a4290810a030c210a428420822090610211104
11202575,0.0045,2023-09-06,Clear,Nimo,2,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000a21e3331044110410a421081024210a10a30808082208881021194c
11234030,0.0045,2023-09-04,Sleepless,Gill,3,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000001e31e0221023290410a4290a10a4290410a108c8082208c410241104
5611460,0.0053,2023-08-29,Clear,Gill,2,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000001e20c2411044100810a0104a10a4190610a4190c0821310610243102
11182216,0.0030,2023-08-29,Telescope,Risky Bird,5,Piranha,Oranda,Balloon,Koi,Aquatic,Bird,0x400000000c78802010a4110a10a4290a08c408c210a429020825290610240904
4309375,0.0040,2023-08-24,Clear,Bubblemaker,3,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x40000000027833331044110210a528821064290610a4190a0824190610211102
11202575,0.0038,2023-08-23,Clear,Nimo,2,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000a21e3331044110410a421081024210a10a30808082208881021194c
11202575,0.0020,2023-08-17,Clear,Nimo,2,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000a21e3331044110410a421081024210a10a30808082208881021194c
6012465,0.0024,2023-08-16,Gero,Inkling,4,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x40000000030cc2421084110210a429081080190610a4294c0824190c102408cc
11105865,0.0049,2023-08-16,Clear,Gill,4,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000001e786044104410ca10a4090810a4188c10a320080822090610240844
10528489,0.0030,2023-08-14,Clear,Bubblemaker,3,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000001e3442301040090410a4200a1064184a10a2310c0825204a10240942
11182216,0.0030,2023-08-13,Telescope,Risky Bird,5,Piranha,Oranda,Balloon,Koi,Aquatic,Bird,0x400000000c78802010a4110a10a4290a08c408c210a429020825290610240904
11105865,0.0029,2023-08-08,Clear,Gill,4,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000001e786044104410ca10a4090810a4188c10a320080822090610240844
11077959,0.0015,2023-07-31,Clear,Bubblemaker,3,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000001e79e3301042080810a129081064190a10a4290a082430ca10240888
11234009,0.0030,2023-07-28,Clear,Risky Bird,3,Piranha,Oranda,Balloon,Koi,Aquatic,Bird,0x400000000621e4201044290a10a4090808c5108c10a4290a082528c210221044
11234009,0.0015,2023-07-27,Clear,Risky Bird,3,Piranha,Oranda,Balloon,Koi,Aquatic,Bird,0x400000000621e4201044290a10a4090808c5108c10a4290a082528c210221044
10368517,0.0017,2023-07-22,Telescope,Nimo,5,Piranha,Oranda,Balloon,Koi,Aquatic,Aquatic,0x400000000630c33010a2290410a4210a1022310810a4190c08220904102408c4
