axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11852478,0.00860,4,Sushihue,0.00860,0.00000,0
11319709,0.00890,4,Koku_So,0.00890,0.00000,0
11328909,0.00900,3,GLV,0.00900,0.00000,0
11897299,0.00900,4,Rion,0.00900,0.00000,0
11874378,0.00940,4,MrTx,0.00940,0.00000,0
11863327,0.01000,4,Ndar | YGG | Axie.gg,0.01000,0.00000,0
11908211,0.01000,0,c9paperts,0.01000,0.00000,0
11890367,0.01000,4,Facebook: Leicee25 (JC Garcia),0.01000,0.00000,0
11887063,0.01050,1,FB:JohnDenverEslopor,0.01050,0.00000,0
11874688,0.01100,4,Shirou,0.01100,0.00000,0
11880984,0.01150,0,Check inventory,0.01150,0.00000,0
11881104,0.01350,2,zionski18,0.01350,0.00000,0
11872975,0.01350,2,zionski18,0.01350,0.00000,0
11894653,0.01350,0,Axel,0.01350,0.00000,0
11872873,0.01450,0,FB: Paul Escaño,0.01450,0.00000,0
11897300,0.01480,0,🐺WILD HUNT🐺,0.01480,0.00000,0
11222412,0.01500,3,Axie Buff,0.01500,0.00000,0
11348648,0.01520,0,tweaker,0.01520,0.00000,0
11880129,0.01570,0,ERA6 I sak.gg,0.01570,0.00000,0
11348649,0.01600,0,tweaker,0.01600,0.00000,0
11347104,0.01600,3,tweaker,0.01600,0.00000,0
11348647,0.01600,0,tweaker,0.01600,0.00000,0
11347101,0.01640,3,tweaker,0.01640,0.00000,0
11347098,0.01680,3,tweaker,0.01680,0.00000,0
11345034,0.01680,3,tweaker,0.01680,0.00000,0
11204005,0.01700,4,AllAxies4Sale - Send offers,0.01700,0.00000,0
11900551,0.01750,0,DC: Sarafin,0.01750,0.00000,0
11894655,0.01790,0,Axel,0.01790,0.00000,0
11348653,0.01840,0,tweaker,0.01840,0.00000,0
11880130,0.01990,0,ERA6 I sak.gg,0.01990,0.00000,0
11319464,0.02000,0,Long Bát,0.30000,0.02000,1209600
11319461,0.02000,0,Long Bát,0.30000,0.02000,1209600
11313877,0.02000,4,Long Bát,0.30000,0.02000,1209600
11859026,0.02000,3,Accept mah offer mah Friend,0.02000,0.00000,0
11341661,0.02000,1,Smurky,0.02000,0.00000,0
11347107,0.02000,2,tweaker,0.02000,0.00000,0
11281759,0.02000,2,-BAIT-,0.02000,0.00000,0
11348645,0.02000,0,tweaker,0.02000,0.00000,0
11310403,0.02050,4,Zedd,0.02050,0.00000,0
11348650,0.02560,0,tweaker,0.02560,0.00000,0
11347103,0.03000,3, dat-reign#GON.,0.03000,0.00000,0
11297766,0.03000,4,AMGS |  MAX,0.03000,0.00000,0
11310393,0.03000,3,AMGS |  MAX,0.03000,0.00000,0
11348642,0.03360,0,tweaker,0.03360,0.00000,0
11344260,0.03400,0,JaraguaGecko#5,0.03400,0.00000,0
11332600,0.03500,3,jxbby,0.03500,0.00000,0
11319033,0.03500,0,Tran Dat,0.03500,0.00000,0
11347100,0.03600,3,tweaker,0.03600,0.00000,0
11345378,0.04000,0,Janelle pinakamaganda,0.02200,0.04000,86400
11281787,0.05000,4,<#F70D1A>Nemarus | <#16E2F5>RES,0.05000,0.00000,0
11348732,0.05000,0,JAES,0.05000,0.00000,0
4609979,0.05000,3,Magical Mystic Gnolls,0.05000,0.00000,0
11333769,0.05500,0,OneGim | Lloyd,0.05500,0.00000,0
11333649,0.06790,3,😈 Aizetsu |18| NFGz Demons,0.06790,0.00000,0
11345254,0.10000,2,yadzaxie.ron,0.10000,0.00000,0
11312852,0.11000,3,Yamete Kudasai! | JCG,0.11000,0.00000,0
11270247,0.12000,5,Joe,0.12000,0.00000,0
11279666,0.30000,3,Alricki | catJAM,0.30000,0.00000,0
11270219,0.30000,4,elpanda13,0.30000,0.00000,0
11310407,0.45000,4,<#800000>Marcelo<#3881CF> | MMC,0.45000,0.00000,0
11314343,0.50000,4,r2ro,0.50000,0.00000,0
11210917,0.50000,2,Lunacian #25550660,0.50000,0.00000,0
11333650,0.90000,2,Abe_potpot,0.90000,0.00000,0
11328912,1.00000,4,JaraguaGecko#7,10.00000,1.00000,259200
11333647,1.00000,3,Bae,0.40000,1.00000,86400
6302606,1.00900,0,Jah rahkal | R A M P A G E ,1.00900,0.00000,0
