axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11328909,0.0078,2023-10-24,Telescope,Tiny Fan,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000578822210a4110a10a4290a1044194210a0308c04c1304c10212902
11348733,0.0085,2023-10-23,Clear,Gill,0,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000621e2321042204a10a4290a10a4290810a4290a04c1304a10240902
11329281,0.0097,2023-10-22,Clear,Tiny Fan,2,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000067863301044110a10a4290a1044210610a1190a04c1304810212102
11852473,0.0091,2023-10-21,Clear,Tiny Fan,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000328a3031044104a10a4090a1044114210a4290a04c1304c102408ca
11863324,0.0097,2023-10-20,Telescope,Tiny Fan,4,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a28a30010a4290410a429021041104410a2190a04c1304c10240902
11872974,0.0090,2023-10-20,Telescope,Tiny Fan,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c28a34210a4104a10a0284a1045184410a1310a04c5304c10240842
11328909,0.0085,2023-10-19,Telescope,Tiny Fan,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000578822210a4110a10a4290a1044194210a0308c04c1304c10212902
11348655,0.0080,2023-10-17,Telescope,Gill,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c30c22310a4110410a2084810a4290810a2190a04c1304c10240902
11307117,0.0080,2023-10-17,Clear,Gill,4,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000033034341044110410a4090a10a4210810a4284804c1310610240902
11329281,0.0084,2023-10-16,Clear,Tiny Fan,2,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000067863301044110a10a4290a1044210610a1190a04c1304810212102
11887067,0.0095,2023-10-15,Clear,Tiny Fan,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a28a2201044100410a4290a1044110410a4290a04c1304c1025114c
11887064,0.0089,2023-10-15,Clear,Tiny Fan,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a28c200104410ca10a4290a1044110410a4290a04c1304c1025114c
11887067,0.0085,2023-10-15,Clear,Tiny Fan,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a28a2201044100410a4290a1044110410a4290a04c1304c1025114c
11307117,0.0075,2023-10-14,Clear,Gill,4,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000033034341044110410a4090a10a4210810a4284804c1310610240902
11307117,0.0090,2023-10-14,Clear,Gill,4,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000033034341044110410a4090a10a4210810a4284804c1310610240902
11332601,0.0094,2023-10-13,Clear,Gill,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c30c2231044114a10a4290a10a2210a10a2210a04c0104c10253102
11329281,0.0094,2023-10-13,Clear,Tiny Fan,2,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000067863301044110a10a4290a1044210610a1190a04c1304810212102
11318509,0.0120,2023-10-13,Clear,Tiny Fan,1,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000038430421042090410a42042104008c610a2104204c1304a10240902
11308693,0.0088,2023-10-13,Sleepless,Tiny Fan,4,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e19e2221025290210a4290a1044210610a4288c04c319061024094c
11318509,0.0092,2023-10-12,Clear,Tiny Fan,1,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000038430421042090410a42042104008c610a2104204c1304a10240902
11893085,0.0082,2023-10-12,Clear,Tiny Fan,0,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a8613201044110410a428421041308a10a0310a04c1304c10240842
11852473,0.0075,2023-10-12,Clear,Tiny Fan,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000328a3031044104a10a4090a1044114210a4290a04c1304c102408ca
11332601,0.0061,2023-10-12,Clear,Gill,3,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c30c2231044114a10a4290a10a2210a10a2210a04c0104c10253102
11344251,0.0097,2023-10-11,Sleepless,Pink Cheek,0,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Bird,0x400000001e1833221023110a10a4290a0824110810a4294a04c5304c10212042
11870835,0.0095,2023-10-11,Telescope,Tiny Fan,4,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a2a130310a4290a10a4294a104428c810a2194a04c1304c10240902
11318509,0.0062,2023-10-11,Clear,Tiny Fan,1,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000038430421042090410a42042104008c610a2104204c1304a10240902
11337510,0.0096,2023-10-09,Lucas,Inkling,2,Piranha,Oranda,Spiky Wing,Koi,Bird,Aquatic,0x40000000082882200844210810a2090a1084288410a0300c04c0308210240902
11345267,0.0090,2023-10-09,Clear,Gill,2,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000062060221042110810a4290a10a4288410a4294204c1314810240902
11337510,0.0064,2023-10-09,Lucas,Inkling,2,Piranha,Oranda,Spiky Wing,Koi,Bird,Aquatic,0x40000000082882200844210810a2090a1084288410a0300c04c0308210240902
11337510,0.0009,2023-10-09,Lucas,Inkling,2,Piranha,Oranda,Spiky Wing,Koi,Bird,Aquatic,0x40000000082882200844210810a2090a1084288410a0300c04c0308210240902
11863327,0.0104,2023-10-07,Clear,Inkling,0,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a0e13201044110a10a4290a1084108810a4290a04c130c4102328c8
11881003,0.0100,2023-10-07,Telescope,Gill,5,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000002128a43210a2210410a4290210a4104410a4288604c1304c10240902
11887063,0.0105,2023-10-07,Clear,Tiny Fan,0,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a28a0021044110410a0210a1040288810a4280a04c1304c10253144
11870835,0.0058,2023-10-07,Telescope,Tiny Fan,4,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a2a130310a4290a10a4294a104428c810a2194a04c1304c10240902
11321919,0.0247,2023-10-06,Little Owl,Inkling,2,Piranha,Oranda,Spiky Wing,Koi,Bird,Aquatic,0x400000001e20a3030884110810a428821084210410a4180c04c0194810233102
11887063,0.0081,2023-10-06,Clear,Tiny Fan,0,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a28a0021044110410a0210a1040288810a4280a04c1304c10253144
11887064,0.0080,2023-10-06,Clear,Tiny Fan,0,Piranha,Oranda,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a28c200104410ca10a4290a1044110410a4290a04c1304c1025114c
