axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11891607,0.00560,2,dc:bob36#2630 | Axie Bob Shop,0.00560,0.00000,0
10946110,0.00560,5,Yggdraaa,0.00560,0.00000,0
11316809,0.00575,4,KewPie,0.00575,0.00000,0
11877930,0.00585,3,CP-9,0.00585,0.00000,0
11248840,0.00600,2,F27,0.00600,0.00000,0
11250282,0.00600,3,F29,0.00600,0.00000,0
11203093,0.00600,3,F28,0.00600,0.00000,0
11262856,0.00600,2,F30,0.00600,0.00000,0
11328270,0.00630,2,PJGZ,0.00630,0.00000,0
11249184,0.00655,3,MNGRMJ,0.00655,0.00000,0
11314864,0.00680,2,MNGRMJ,0.00680,0.00000,0
11081175,0.00680,4,MNGRMJ,0.00680,0.00000,0
11051993,0.00700,4,Lunacian #1,0.00700,0.00000,0
11195632,0.00700,3,ZOLDYCK | TFH ~ TKW,0.00700,0.00000,0
11262761,0.00740,3,ShamanRetro,0.00740,0.00000,0
11250223,0.00750,0,Kiko-sama,0.00750,0.00000,0
11069714,0.00800,2,Lunacian #1,0.00800,0.00000,0
10924011,0.00880,5,🎊𝐅𝐚𝐧𝐬 𝐝𝐞 𝐅𝐮𝐟𝐢𝐢🥡,0.00880,0.00000,0
11231967,0.00900,1,Lunacian #1,0.00900,0.00000,0
11322363,0.01000,0,Snowballxx,0.01000,0.00000,0
11122229,0.01000,3,El Peluca,0.01000,0.00000,0
11049742,0.01000,3,Frappuccino,0.01000,0.00000,0
10747803,0.01000,5,🕸 illumi |22| NFGz Phantom,0.01000,0.00000,0
11287207,0.01000,2,Wilzr,0.01000,0.00000,0
11124219,0.01000,2,Rukari,0.01000,0.00000,0
11049667,0.01000,3,Keon,0.01000,0.00000,0
11176895,0.01050,3,Axie Magic,0.01050,0.00000,0
11843636,0.01090,0,Marnsqwe l DESCENDANTS,0.01090,0.00000,0
11121180,0.01100,2,Pappa dlos Helados,0.01100,0.00000,0
11162637,0.01200,3,Jin | ImpactGuild,0.01200,0.00000,0
11316749,0.01256,4,😈 Enmu |35| NFGz Demons,0.01256,0.00000,0
11204480,0.01500,2,Pat | JORJOR,0.01500,0.00000,0
11262889,0.01500,2,Mr Orange,0.01500,0.00000,0
11231784,0.01500,2,Orale Ese,0.01500,0.00000,0
11179253,0.01500,0,nyark nyark,0.01500,0.00000,0
10870220,0.01544,4,JeonSobari,0.01544,0.00000,0
11152817,0.01550,3,GG PH | CYRIL,0.01550,0.00000,0
10851779,0.01573,6,Eli,0.01573,0.00000,0
11228731,0.01590,0,rockman,0.01590,0.00000,0
11075876,0.01600,4,Accept Please,0.01600,0.00000,0
11170768,0.01600,3,Team 1 | JLV2,0.01600,0.00000,0
11132064,0.01600,2,IV. TheGoose Esports,0.01600,0.00000,0
11228250,0.02000,0,TungFuly - 05,0.02000,0.00000,0
11228247,0.02000,0,TungFuly - 05,0.02000,0.00000,0
11228246,0.02000,0,TungFuly - 05,0.02000,0.00000,0
10999526,0.02000,4,Isko1-Mike,0.02000,0.00000,0
11302738,0.02000,2,esalcedo86,0.02000,0.00000,0
10999805,0.02000,0,KIN,0.02000,0.00000,0
11122119,0.02000,4,anya ngay,0.02000,0.00000,0
11236448,0.02000,4,RL,0.02000,0.00000,0
11188534,0.02462,3,twitter/mlazos7,0.05000,0.02000,15552000
10999616,0.02500,4,Owen,0.02500,0.00000,0
11216646,0.02800,2,ThrashxD,0.03600,0.02800,518400
11296125,0.03000,3,rav | isko6,0.03000,0.00000,0
11269890,0.03000,1,Mui,0.03000,0.00000,0
11308248,0.03300,0,Phynister,0.03300,0.00000,0
10779445,0.03700,6,Mui,0.03700,0.00000,0
11226437,0.04000,0,B^_^,0.04000,0.00000,0
11247927,0.04500,2,yuniel #1783905,0.04500,0.00000,0
11093628,0.04900,0,Socnar,0.04900,0.00000,0
11036167,0.04980,2,Byron Singzon,0.04980,0.00000,0
11063509,0.05000,3,Ebe,0.05000,0.00000,0
10821073,0.05000,5,T Sutilolive,0.05000,0.00000,0
11205519,0.05000,3,Caloysski,0.05000,0.00000,0
11316810,0.05000,4,Monkey Business,0.05000,0.00000,0
11332323,0.05000,0,Homeless,0.05000,0.00000,0
11330058,0.05000,1,Magical Mystic Gnolls,0.05000,0.00000,0
11157962,0.05529,2,Bryan 11,0.05529,0.00000,0
11274271,0.05750,3,pls accept fair profit ty :),0.05750,0.00000,0
11086487,0.06000,2,Fénix [ Alinix Corp.],0.06000,0.00000,0
11138791,0.07500,1,Egsss `SBL GAME,0.07500,0.00000,0
11056512,0.10000,0,BLACKSHEEP OF THE FAMILY,0.10000,0.00000,0
10928448,0.10000,6,Aqua Lord,0.10000,0.00000,0
11096609,0.10000,3,<color=#72006c> BANTAM,0.10000,0.00000,0
11187969,0.10000,0,say my name,0.10000,0.00000,0
11047453,0.11000,5,Yamete Kudasai! | JCG,0.11000,0.00000,0
11274260,0.11000,2,DREY,0.11000,0.00000,0
11186440,0.11500,0,itay/main,0.11500,0.00000,0
11287175,0.12000,2,Maiki,0.12000,0.00000,0
11084822,0.12500,3,Galaxie,0.12500,0.00000,0
11084801,0.12500,3,Galaxie,0.12500,0.00000,0
10996220,0.15000,5,Gonzo | Main,0.15000,0.00000,0
11134366,0.22000,4,*EROS,0.22000,0.00000,0
11250281,0.25000,2,F3,0.25000,0.00000,0
11147394,0.50000,4,Ekeboy Axie Club,0.50000,0.00000,0
11274234,0.50000,2,Ekeboy Axie Club,0.50000,0.00000,0
10990888,0.50000,4,Jerson|TopGunGuild,0.50000,0.00000,0
11210518,0.80000,4,<#000000> aiver,1.00000,0.80000,2592000
11000703,0.80000,3,R8DX3,0.80000,0.00000,0
10996314,2.00000,4,if not now then when,2.00000,0.00000,0
