axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11323991,0.0050,2023-10-21,Clear,Inkling,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000384c3321044108410a42908108419080080200808220882102408c6
11250223,0.0032,2023-10-19,Lucas,Pink Cheek,0,Piranha,Pocky,Balloon,Koi,Bird,Bird,0x400000000c0ca3300844090410a429080824188a008428080823208210240846
10368510,0.0131,2023-10-19,Clear,Nimo,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c30c0321044108a10a421081024094a0080200a0824208210250882
11265690,0.0050,2023-10-17,Clear,Bubblemaker,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c2832301044290410a4210410641902008020080822088210240806
11231948,0.0065,2023-10-17,Lucas,Nimo,4,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x40000000062080220844110a10a5210a10240906008020080822088210240902
11123199,0.0040,2023-10-15,Robin,Bubblemaker,3,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x400000000c84300008a2094810a42002106218880080210a0822094410232102
11323991,0.0045,2023-10-15,Clear,Inkling,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000384c3321044108410a42908108419080080200808220882102408c6
11064749,0.0063,2023-10-15,Clear,Bubblemaker,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x40000000081a11201040088210a42908106418c2008020080822088210221884
10780933,0.0123,2023-10-14,Mavis,Bubblemaker,5,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x40000000082810420824110410a42108106409080080210a0824104210203104
11205311,0.0038,2023-10-12,Clear,Gill,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c30c0321042114a10a4210a10a210820080204a0822088210240902
11086814,0.0061,2023-10-11,Clear,Bubblemaker,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c3033031044290410a4290810642082008020080823288210240902
11120809,0.0060,2023-10-11,Clear,Bubblemaker,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000604a0201044280210a4290210641906008020080820288210240902
11166944,0.0063,2023-10-11,Clear,Inkling,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x40000000080c12031044110410a4210210842108008020080822094210240902
11278300,0.0062,2023-10-10,Robin,Bubblemaker,4,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x40000000060c613308a4110410a4294a10642084008020080822090610240902
11086814,0.0037,2023-10-07,Clear,Bubblemaker,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c3033031044290410a4290810642082008020080823288210240902
11231948,0.0065,2023-10-07,Lucas,Nimo,2,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x40000000062080220844110a10a5210a10240906008020080822088210240902
11120809,0.0065,2023-10-07,Clear,Bubblemaker,2,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000604a0201044280210a4290210641906008020080820288210240902
11278300,0.0070,2023-10-07,Robin,Bubblemaker,2,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x40000000060c613308a4110410a4294a10642084008020080822090610240902
11236392,0.0059,2023-10-07,Clear,Gill,2,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c30c2231044208410a3090a10a4210a008020080822088a10242902
11275879,0.0024,2023-10-05,Clear,Inkling,2,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000a0ca023104210c410a428c210842948008020cc082208c610240902
10932035,0.0060,2023-10-05,Mavis,Nimo,5,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x400000000331e0200823294810a40844102408cc00802008082209461020294c
10996314,0.0063,2023-10-03,Sleepless,Nimo,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000978c2041024104210a4290a10202906008021060822100610251102
11174123,0.0064,2023-10-03,Telescope,Bubblemaker,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000828123210a410ca10a4294210641108008021060822088210240884
10616803,0.0054,2023-09-29,Telescope,Bubblemaker,6,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000001e04a02210a4110410a30908106421060080204c0822088210220902
10616803,0.0010,2023-09-29,Telescope,Bubblemaker,6,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000001e04a02210a4110410a30908106421060080204c0822088210220902
11869023,0.0063,2023-09-29,Clear,Bubblemaker,0,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c3032001043204810a11108106418060081180808220882102010c4
11231948,0.0060,2023-09-27,Lucas,Nimo,2,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x40000000062080220844110a10a5210a10240906008020080822088210240902
10932035,0.0065,2023-09-26,Mavis,Nimo,5,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x400000000331e0200823294810a40844102408cc00802008082209461020294c
11034263,0.0048,2023-09-26,Clear,Inkling,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c3210301041090410a4290810842108008030080822088210240902
11034263,0.0011,2023-09-25,Clear,Inkling,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c3210301041090410a4290810842108008030080822088210240902
11279063,0.0051,2023-09-25,Lucas,Inkling,2,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x400000000a30c3030844104210a429081084204a0080200808232082102408cc
11279088,0.0063,2023-09-25,Clear,Bubblemaker,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000a30a2001044114410a4290810641902008020080822090a10240808
10999155,0.0049,2023-09-24,Lucas,Bubblemaker,4,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x40000000210410000844108410a429081064190800813008082208c810240886
11291200,0.0120,2023-09-24,Sleepless,Inkling,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c7861221024110410a4290a108419060080200808251882102408c8
11110770,0.0060,2023-09-23,Clear,Curly,4,Piranha,Pocky,Balloon,Koi,Aquatic,Bird,0x400000000c2812321044090410a4090208a4210a00802008082208821024084a
11096615,0.0059,2023-09-23,Clear,Bubblemaker,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x40000000060413021041204810a110021065294c00802008082130c210240884
11166944,0.0060,2023-09-22,Clear,Inkling,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x40000000080c12031044110410a4210210842108008020080822094210240902
11279088,0.0060,2023-09-22,Clear,Bubblemaker,2,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000a30a2001044114410a4290810641902008020080822090a10240808
11176915,0.0061,2023-09-22,Robin,Gill,4,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x400000000c30a00008a2114a10a4210a10a20882008020080822088210240902
10846764,0.0052,2023-09-22,Clear,Bubblemaker,2,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000a28a0221044104810a421481065180c0081284c0822088210241082
10999155,0.0048,2023-09-21,Lucas,Bubblemaker,4,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x40000000210410000844108410a429081064190800813008082208c810240886
10832639,0.0071,2023-09-21,Clear,Tiny Fan,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c30c0401041280810a428c41044088c0082210a0822088210240902
10996314,0.0054,2023-09-20,Sleepless,Nimo,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000978c2041024104210a4290a10202906008021060822100610251102
11075876,0.0050,2023-09-19,Clear,Nimo,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000c3060221044108810a408c81021190600802008082208c610240902
10996314,0.0040,2023-09-19,Sleepless,Nimo,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000978c2041024104210a4290a10202906008021060822100610251102
11310588,0.0061,2023-09-18,Mavis,Gill,2,Piranha,Pocky,Balloon,Koi,Bird,Aquatic,0x400000000619e2220824110410a4290810a02144008021060821188a10240904
11205248,0.0061,2023-09-18,Clear,Inkling,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000628c3321042290410a4290a10842108008020080822088210240902
10817656,0.0100,2023-09-18,Clear,Bubblemaker,4,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000a8610041044090810a321021064184c008310080822080c10240942
11230979,0.0065,2023-09-17,Clear,Bubblemaker,2,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000001e1863011044290410a40942106529060080214c0822088810240902
11096615,0.0065,2023-09-17,Clear,Bubblemaker,3,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x40000000060413021041204810a110021065294c00802008082130c210240884
11328270,0.0063,2023-09-17,Telescope,Bubblemaker,2,Piranha,Pocky,Balloon,Koi,Aquatic,Aquatic,0x400000000330c32210a4110410a421021061308c0080204208220882102408c6
