axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11150075,0.01044,3,Mikhael | SMZ.GG,0.01044,0.00000,0
11219870,0.01300,0,Kenji666,0.01300,0.00000,0
11866387,0.01330,5,dc:bob36#2630 | Axie Bob Shop,0.01330,0.00000,0
11187277,0.01330,4,Javz,0.01330,0.00000,0
11270498,0.01400,1,Prieto | JMBP,0.01400,0.00000,0
11332360,0.01500,2,PumpkinEater69,0.01500,0.00000,0
11345256,0.02000,2,Ellie | Kyle25,0.02000,0.00000,0
11330341,0.03000,2,Ter ,0.03000,0.00000,0
11269608,0.03000,2,Discord: Montblack#5409,0.03000,0.00000,0
11213336,0.08684,3,Send Offers,0.08684,0.00000,0
11214354,0.10000,4,Bakuryu,0.10000,0.00000,0
10954389,0.11000,5,Yamete Kudasai! | JCG,0.11000,0.00000,0
11254893,1.00000,4,The Mystic Merchant,1.00000,0.00000,0
11205201,2.00000,2,Dave | TD.Topdeckan,2.00000,0.00000,0
