axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11068956,0.0120,2023-10-21,Sleepless,Peace Maker,4,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Bird,0x400000000a3211331024110410a42082088011060080200804c2090610240902
11287421,0.0133,2023-10-20,Clear,Gill,5,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c1812201044290a10a4290a10a419060080300804c1304a10241102
11336006,0.0072,2023-10-17,Clear,Bubblemaker,2,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000010c82221040110410a31144106419060080314204c3284c102318cc
11219870,0.0077,2023-10-14,Robin,Bubblemaker,0,Piranha,Pocky,Spiky Wing,Koi,Bird,Aquatic,0x400000000c28102008a2110210a4210a1064304a0080204a04c418841022308c
11276155,0.0119,2023-10-09,Robin,Gill,2,Piranha,Pocky,Spiky Wing,Koi,Bird,Aquatic,0x400000001e30602008a4108410a4280410a421480080314404c2084c10240904
11287421,0.0155,2023-10-09,Clear,Gill,0,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c1812201044290a10a4290a10a419060080300804c1304a10241102
11866387,0.0150,2023-10-09,Clear,Bubblemaker,0,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a20c0101042110410a40848106431060082090204c1314410230942
11280057,0.0120,2023-10-05,Sleepless,Gill,0,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c0ca2031024214a10a3290a10a421020082084c04c4304c1024080a
11150075,0.0110,2023-09-29,Gero,Inkling,3,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000037880321083210410a42102108409020084290c04c0080410240902
11866387,0.0095,2023-09-28,Clear,Bubblemaker,0,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a20c0101042110410a40848106431060082090204c1314410230942
11150075,0.0065,2023-09-25,Gero,Inkling,3,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000037880321083210410a42102108409020084290c04c0080410240902
11328904,0.0100,2023-09-23,Clear,Bubblemaker,2,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x40000000032083231044110410a429421062088c0084294204c130ca102318c6
11866387,0.0105,2023-09-21,Clear,Bubblemaker,0,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a20c0101042110410a40848106431060082090204c1314410230942
11031944,0.0100,2023-09-19,Sleepless,Seaslug,0,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e7833231024110a10a0090810c418c20085310a04c428821024300c
11866387,0.0090,2023-09-14,Clear,Bubblemaker,0,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000a20c0101042110410a40848106431060082090204c1314410230942
11031944,0.0077,2023-09-13,Sleepless,Seaslug,0,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000001e7833231024110a10a0090810c418c20085310a04c428821024300c
11276155,0.0100,2023-09-12,Robin,Gill,2,Piranha,Pocky,Spiky Wing,Koi,Bird,Aquatic,0x400000001e30602008a4108410a4280410a421480080314404c2084c10240904
11254924,0.0100,2023-09-11,Mavis,Nimo,4,Piranha,Pocky,Spiky Wing,Koi,Bird,Aquatic,0x400000000619e2220822208410a4290a102108020080214404c1314410240902
11304842,0.0097,2023-09-08,Clear,Bubblemaker,0,Piranha,Pocky,Spiky Wing,Koi,Aquatic,Aquatic,0x400000000c1a13201044290410a1290a106311040080300c04c1304a10241102
