id,currentPrice,basePrice,endedPrice,duration,breedCount,speed,hp,morale,ownerProfile,birthDate,transferHistory,genes,bodyShape,owner,name
11879034,0.01300,0.01300,0.00000,0000,5,42,55,40,dc:bob36#2630 | Axie Bob Shop,2023-09-23 14:22:27 UTC,2,0xa00000000b2cb2230ca00802004011080c2131441445104800a1208c0c4310c4,Normal,0xdc683a32553d8de5828ec1364df4b7ae6f98a66b,Rush
11878609,0.01500,0.01500,0.00000,0000,2,43,55,39,Xtianssen,2023-09-23 04:45:36 UTC,1,0xa00000000b2cb4230ca3080200401004144328821445114400a008480c421846,Normal,0x430bc553c0b040ddf201b6f6de1ef1d2066739b7,Axie #11878609
11884634,0.01500,0.01500,0.00000,0000,5,43,55,39,Jao,2023-09-28 15:16:18 UTC,1,0xa00000000b2cb4230ca0084800401004144308841445114400a120480c4218c4,Normal,0xd546adcb742ba14907551e96c77b6bafbc9f9f25,Zard
11904693,0.01500,0.01500,0.00000,0000,0,43,55,39,tyranno,2023-10-13 03:10:55 UTC,0,0xa00000000408b24214232884004010c20c6310ca1445104600a128480c4128c4,Normal,0x616553cbababf9d411c31d3e84efa38ae2097832,I accept offers
11895698,0.01600,0.01600,0.00000,0000,0,45,53,39,Adriana,2023-10-07 04:35:01 UTC,0,0xa00000000b2cb4220c24290a0045090210a428c81445114600a121440c4520c4,Normal,0x04cc100bc622385d1f5a2becdfe3253f45aa6923,0 Breeds
11866862,0.01650,0.01650,0.00000,0000,4,44,55,38,ALT+CTRL+DEL,2023-09-07 16:10:28 UTC,1,0xa00000000d2cb232142008020040100414431944144510c400a028020c4310c4,Normal,0x0f999bfd74127288cd3fa01ed1a101c1f24e6307,HIGH SPD MAX HP 
11866861,0.01740,0.01740,0.00000,0000,4,43,55,39,Norym/LFG,2023-09-07 16:09:46 UTC,1,0xa00000000d08224314232802004010040c2319441445114400a5180a0c4310c4,Normal,0x1b56d30c4d9d3cbd48b10faeae36eadd0d76814d, 🗿Lunge Enjoyer | TIMBAH
11856744,0.01800,0.01800,0.00000,0000,4,45,53,39,123,2023-08-25 05:29:48 UTC,2,0xa00000000b78b4420c2508880040100410a408c21445114400a120880c4310c4,Normal,0xeaaae1127f384381ca8a47d10dc9f59b04f2ab2f,45 SPEED Timber Lunge
11898458,0.01874,0.03000,0.01500,0120,3,46,53,38,F.🗿🗿 (V2 Enjoyer) ,2023-10-09 00:44:19 UTC,0,0xa00000000b78b34314232944004010041021204c1444214400a0288c0c4310c4,Normal,0xc6e3e0005948426bd049e1eee583194efae245d8,🗿53H46S Lunge Enjoyer | TIMBAH
11872016,0.02000,0.02000,0.00000,0000,0,45,52,40,FB | Leo Ronaxs  🇲🇽,2023-09-16 00:38:27 UTC,0,0xa00000000404c21108a208c4004320480c8420061442314c00a418480c4310c4,Normal,0x97adb4334a1b4d2bfe77fa81152335ad4af86367,Axie #11872016
11895741,0.02094,0.02100,0.01800,0024,4,48,51,38,Adriana,2023-10-07 05:02:34 UTC,0,0xa00000000b2cb22210a429020040104410a429081441314400a220480c43108c,Normal,0x04cc100bc622385d1f5a2becdfe3253f45aa6923,MAX SPEED
11898461,0.02404,0.02800,0.01800,0096,4,48,51,38,F.🗿🗿 (V2 Enjoyer) ,2023-10-09 00:45:04 UTC,0,0xa00000000b7844321025090400401082102409021442194400a120480c431008,Normal,0xc6e3e0005948426bd049e1eee583194efae245d8,🗿51H48S Lunge Enjoyer | TIMBAH
11899008,0.02737,0.03000,0.00100,0480,0,45,51,41,ThunderStruck | Axie.gg,2023-10-09 11:17:07 UTC,0,0xa00000000b08b21404832882004010041085110a1445304600a409060c4310c4,Normal,0xe61ca6f6dceebf38434da2b6fc7585c931891295,Axie #11899008
